dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.399,-0.000202672,-3.91251e-07,0,1,0,0,0,0,0,0,0
0.409,-0.000202502,-3.90771e-07,0,1,0,0,0,0,0,0,0
0.609,-0.000200367,-3.93192e-07,0,1,0,0,0,0,0,0,0
0.809,-0.000202036,-3.95305e-07,0,1,0,0,0,0,0,0,0
1.009,-0.00020181,-3.91932e-07,0,1,0.799806,1.3493e-06,0.799808,0.160155,6.7889e-07,0.8,0
1.209,0.010362,9.58766e-08,0,1,0.581541,2.33314e-06,0.581544,0.334767,-2.45376e-06,0.8,0
1.41,0.053219,1.69281e-06,0,1,0.379581,0.00100443,0.380585,0.496336,0.0015662,0.8,0
1.611,0.12846,-1.17729e-05,0,1,0.206595,0.00978948,0.216384,0.634724,0.0195268,0.8,0
1.811,0.253773,-0.00152612,0,1,0.0127575,8.63655e-06,0.0127662,0.789794,2.14291e-05,0.8,0
2.012,0.394827,-0.00275563,0,1,0.0234783,0.0120233,0.0355016,0.781217,-0.0295224,0.8,0
2.212,0.524823,-0.00317387,0,1,0.0252147,0.0113748,0.0365895,0.779828,-0.027879,0.8,0
2.412,0.707422,-0.00474071,0,1,0.0249878,0.0102797,0.0352675,0.78001,-0.0251988,0.8,0
2.612,0.836828,-0.00650642,0,1,0.0266068,0.00961617,0.0362229,0.778715,-0.0235322,0.8,0
2.812,0.992688,-0.00930369,0,1,0.03024,0.00910766,0.0393477,0.775808,-0.0222039,0.8,0
3.013,1.14819,-0.0127377,0,1,0.0288718,0.00891623,0.037788,0.776903,-0.0217676,0.8,0
3.213,1.30329,-0.0167427,0,1,0.0275721,0.00435166,0.0319238,0.777942,-0.010636,0.8,0
3.413,1.45883,-0.0212829,0,1,0.024523,0.00403037,0.0285533,0.780382,-0.00988155,0.8,0
3.615,1.64092,-0.0267744,0,1,0.0244549,0.00388951,0.0283444,0.780436,-0.00953683,0.8,0
3.816,1.77008,-0.0308088,0,1,0.0301981,0.0116446,0.0418427,0.775842,0.028395,0.8,0
4.016,1.9,-0.0346827,0,1,0.0326675,0.0114568,0.0441244,0.773866,0.0278655,0.8,0
4.216,2.08012,-0.0389522,0,1,0.0329315,0.00685268,0.0397842,0.773655,0.0166581,0.8,0
4.416,2.23458,-0.041615,0,1,0.0370622,0.00173154,0.0387937,0.77035,0.00419058,0.8,0
4.617,2.38884,-0.0435249,0,1,0.08698,0.00279474,0.0897747,0.730416,0.00641317,0.8,0
