dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
0.374,4.83618,4.79834,0.239398,0.760602,0.00267792,0.00547282,0.245597,-0.00214233,0.0171934
0.38,4.83618,4.79834,0.239398,0.760602,0.00267792,0.00547282,0.245597,-0.00214233,0.0171934
0.581,4.8368,4.7979,0.267784,0.732216,0.00408989,0.00684764,0.275793,-0.00327191,0.0215125
0.782,4.83719,4.79698,0.143817,0.856183,0.00591865,0.00197511,0.150575,-0.00473492,0.00620499
0.983,4.83755,4.79592,-0.114425,1.11442,0.00709384,0.00125029,-0.105126,-0.00567507,-0.0039279
1.183,4.83794,4.79485,0.118477,0.881523,0.00618785,0.00134042,0.125113,-0.00495028,0.00421105
1.383,4.8383,4.7938,0.177892,0.822108,0.00260235,0.00302193,0.182516,-0.00208188,0.00949367
1.584,4.8385,4.79318,-0.0793088,1.07931,0.00299948,0.478065,0.439909,-0.00239959,-0.00188696
1.784,4.83871,4.79256,-0.0955684,1.09557,0.0041026,0.478337,0.432977,-0.00328208,-0.00274
1.985,4.83889,4.79204,-0.0695314,1.06953,0.00372552,0.477927,0.445611,-0.00298041,-0.00145038
2.19,4.83911,4.79139,-0.151242,1.15124,0.00679803,0.479649,0.408776,-0.00543843,-0.00686223
2.39,4.83939,4.79057,-0.0450643,1.04506,0.0055541,0.477659,0.459924,-0.00444328,-0.000609237
2.591,4.83964,4.78989,0.164187,0.835813,0.0028953,0.00257423,0.168758,-0.00231624,0.00808719
2.792,4.83988,4.78916,-0.17928,1.17928,0.00816419,0.00306928,-0.166033,-0.00653135,-0.00964243
2.993,4.84021,4.78819,0.105391,0.894609,0.00647704,0.476404,0.537381,-0.00518163,0.00333215
3.193,4.84058,4.78714,-0.1648,1.1648,0.00930732,0.480058,0.405213,-0.00744586,-0.00814768
3.394,4.84106,4.78576,0.157654,0.842346,0.00740514,0.475091,0.564083,-0.00592411,0.0074564
3.594,4.8415,4.78446,-0.138296,1.1383,0.00581556,0.479291,0.413899,-0.00465245,-0.00573776
3.794,4.84178,4.78363,0.0507097,0.94929,0.00544209,0.477219,0.508895,-0.00435367,0.000771444
3.995,4.84206,4.78281,-0.159765,1.15977,0.00763896,0.479902,0.405668,-0.00611116,-0.00765747
4.196,4.84239,4.78187,-0.132013,1.13201,0.0071422,0.00166419,-0.122044,-0.00571376,-0.00522821
4.396,4.84279,4.78073,-0.169717,1.16972,0.00893336,0.00275058,-0.15605,-0.00714669,-0.00864119
4.597,4.84311,4.77978,0.0863388,0.913661,0.00827687,0.000711841,0.0945514,-0.0066215,0.00223632
4.8,4.84356,4.7785,0.137292,0.862708,0.00849893,0.00179996,0.146177,-0.00679914,0.00565473
5.001,4.84404,4.7771,0.0730331,0.926967,0.00965247,0.000509344,0.0824528,-0.00772197,0.00160015
5.201,4.84457,4.77561,0.0302791,0.969721,0.0099017,8.75505e-05,0.0399659,-0.00792136,0.000275048
5.402,4.8451,4.77408,0.0994429,0.900557,0.00761824,0.00094432,0.107154,-0.00609459,0.00296667
5.602,4.84564,4.77253,0.16573,0.83427,0.00405646,0.00262285,0.171302,-0.00324517,0.00823994
5.802,4.84595,4.77162,-0.0928873,1.09289,0.00705893,0.478289,0.437543,-0.00564715,-0.00258842
6.001,4.84625,4.77072,0.096483,0.903517,0.0045594,0.476576,0.531197,-0.00364752,0.00279269
6.206,4.84659,4.76976,1,0,0.85894,0.863263,1,0,0
6.406,4.84215,4.78247,0,1,0.912866,0.546106,1.45897,-0.0697073,0.477875
6.606,4.8533,4.7666,0,1,0.930959,0.50933,1.44029,-0.0552324,1.88385
6.807,4.87602,4.75157,0,1,0.277772,0.599102,0.876875,-0.222218,1.88214
7.007,4.9243,4.74017,0,1,0.289291,0.532027,0.821318,-0.231433,1.67141
7.209,4.96299,4.74336,0,1,0.285012,0.505691,0.790703,-0.22801,1.58867
7.409,5.00387,4.74493,0,1,0.0049091,0.00151964,0.00642874,0.00392728,0.00477409
7.61,5.00762,4.74357,0,1,0,0,0,0,0
7.81,5.00716,4.74332,0,1,0,0,0,0,0
8.011,5.0068,4.74313,0,1,0.797977,0.00991411,0.807891,0.161619,-0.00503542
8.212,5.02527,4.73724,0,1,0.817502,0.00207943,0.819582,0.145998,0.000953777
8.412,5.01228,4.72846,0,1,0.56369,0.0012737,0.564964,0.349048,0.0013967
8.613,4.99972,4.71903,0.575847,0.424153,0.647524,0.44055,1.03736,0.28198,1.4922
8.813,4.98541,4.69754,0.536824,0.463176,0.441305,0.406027,0.929288,0.446956,1.46972
9.014,4.96299,4.63618,0,1,0.269533,0.441861,0.711394,0.215627,1.38815
9.215,4.95469,4.558,0,1,0.11999,0.27534,0.39533,0.0959923,0.865006
9.414,4.95951,4.52034,0,1,0.0175186,0.135367,0.152885,0.0140148,0.425267
9.615,4.96327,4.50794,0,1,0.0145072,0.0249858,0.039493,0.0116058,0.0784952
9.818,4.96596,4.50181,0,1,0,0,0,0,0
10.016,4.9661,4.5015,0,1,0,0.477465,0.477465,0,0
10.216,4.96607,4.50157,0,1,0.00186748,0.38179,0.383657,0.00149399,-0.300573
