joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.108227,-0.11685,1.60137,1,1,0.135284,0.0779001,0.213184,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.108227,-0.86685,1.67064,1,0.854187,0.135284,0.5779,0.774731,
0,0,0.108227,-0.67935,1.65404,1,1,0.135284,0.4529,0.588184,
0,0,0.108227,-0.49185,1.63748,1,1,0.135284,0.3279,0.463184,
0,0,0.108227,-0.30435,1.62098,1,1,0.135284,0.2029,0.338184,
0,0,0.108227,-0.11685,1.60137,1,1,0.135284,0.0779001,0.213184,
0,0,0.108227,0.0706499,1.21724,1,1,0.135284,0.0470999,0.182384,
0,0,0.108227,0.25815,0.828366,1,1,0.135284,0.1721,0.307384,
0,0,0.108227,0.44565,0.473854,1,0.440055,0.135284,0.2971,0.825969,
0,0,0.108227,0.63315,0.237873,0.992989,0.0804795,0.135284,0.4221,1.09484,
0,0,0.233227,-0.86685,1.65923,1,0.854187,0.291534,0.5779,0.930981,
0,0,0.233227,-0.67935,1.64251,1,1,0.291534,0.4529,0.744434,
0,0,0.233227,-0.49185,1.62583,1,1,0.291534,0.3279,0.619434,
0,0,0.233227,-0.30435,1.6092,1,1,0.291534,0.2029,0.494434,
0,0,0.233227,-0.11685,1.48422,0.822503,1,0.291534,0.0779001,0.495184,
0,0,0.233227,0.0706499,1.05203,0.535247,1,0.291534,0.0470999,0.667895,
0,0,0.233227,0.25815,0.631624,0.444996,1,0.291534,0.1721,0.856835,
0,0,0.233227,0.44565,0.239482,0.254593,0.233325,0.291534,0.2971,1.65562,
0,0,0.233227,0.63315,0.0069903,0.0149296,0.00047854,0.291534,0.4221,1.98915,
0,0,0.358227,-0.86685,1.647,1,0.80459,0.447784,0.5779,1.10817,
0,0,0.358227,-0.67935,1.63113,1,1,0.447784,0.4529,0.900684,
0,0,0.358227,-0.49185,1.61448,1,1,0.447784,0.3279,0.775684,
0,0,0.358227,-0.30435,1.57523,0.824043,1,0.447784,0.2029,0.74785,
0,0,0.358227,-0.11685,1.39276,0.341056,1,0.447784,0.0779001,0.889564,
0,0,0.358227,0.0706499,0.958812,0.128029,1,0.447784,0.0470999,0.9764,
0,0,0.358227,0.25815,0.524346,0.0554222,1,0.447784,0.1721,1.14149,
0,0,0.358227,0.44565,0.112648,0.0357857,0.12307,0.447784,0.2971,1.89373,
0,0,0.358227,0.63315,0.00371486,0.00496908,0.000837885,0.447784,0.4221,1.99677,
0,0,0.483227,-0.86685,1.63386,0.880239,0.80459,0.604034,0.5779,1.31184,
0,0,0.483227,-0.67935,1.61786,0.880191,1,0.604034,0.4529,1.10437,
0,0,0.483227,-0.49185,1.59607,0.780436,1,0.604034,0.3279,1.01887,
0,0,0.483227,-0.30435,1.52889,0.470001,1,0.604034,0.2029,1.0168,
0,0,0.483227,-0.11685,1.3336,0.176729,1,0.604034,0.0779001,1.00792,
0,0,0.483227,0.0706499,0.907469,0.0651973,1,0.604034,0.0470999,1.02128,
