joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.00153414,-1.62751e-05,1.76944,1,1,0.00191768,0.149984,1.84912e-06,
0,0,0,0,1.77681,1,1,0,0,0.00193395,
0,0,0.00153414,-0.300016,1.77669,1,0.038313,0,0,0.00193395,
0,0,0.00153414,-0.225016,1.77652,1,0.0955281,0,0,0.00193395,
0,0,0.00153414,-0.150016,1.77596,1,0.209958,0.126918,0.300016,-3.0213e+16,
0,0,0.00153414,-0.0750163,1.7728,1,0.686578,0.126918,0.300016,-3.0213e+16,
0,0,0.00153414,-1.62751e-05,1.76944,1,1,0.126918,0.300016,-3.00971e+16,
0,0,0.00153414,0.0749837,1.77137,1,0.593402,0.126918,0.300016,-3.00971e+16,
0,0,0.00153414,0.149984,1.77496,1,0.24337,0.00191768,1.62751e-05,0,
0,0,0.00153414,0.224984,1.77585,1,0.117803,0.00191768,1.62751e-05,0,
0,0,0.00153414,0.299984,1.77618,1,0.0683524,0.00191768,1.62751e-05,0,
0,0,0.0515341,-0.300016,1.59867,1,0.642912,0.00191768,1.62751e-05,0,
0,0,0.0515341,-0.225016,1.56934,1,0.643882,0.00191768,1.62751e-05,0,
0,0,0.0515341,-0.150016,1.5479,1,0.645823,0.00191768,1.62751e-05,0,
0,0,0.0515341,-0.0750163,1.53461,1,0.686578,0.00191768,1.62751e-05,0,
0,0,0.0515341,-1.62751e-05,1.52945,1,1,0.00191768,1.62751e-05,0,
0,0,0.0515341,0.0749837,1.53297,1,0.593402,0.0644177,0.224984,-3.00971e+16,
0,0,0.0515341,0.149984,1.54509,1,0.616704,0.0644177,0.224984,-3.00971e+16,
0,0,0.0515341,0.224984,1.56556,1,0.62447,0.126918,0.300016,-3.00971e+16,
0,0,0.0515341,0.299984,1.59396,1,0.628352,0.126918,0.300016,-3.00971e+16,
0,0,0.101534,-0.300016,1.38645,1,0.642912,0.126918,0.150016,-3.00971e+16,
0,0,0.101534,-0.225016,1.34548,1,0.643882,0.126918,0.150016,-3.00971e+16,
0,0,0.101534,-0.150016,1.31526,1,0.645823,0.126918,1.62751e-05,-3.00971e+16,
0,0,0.101534,-0.0750163,1.29662,1,0.686578,0.126918,1.62751e-05,-3.00971e+16,
0,0,0.101534,-1.62751e-05,1.28946,1,1,0.126918,0.149984,-3.00971e+16,
0,0,0.101534,0.0749837,1.29468,1,0.593402,0.126918,0.149984,-3.00971e+16,
0,0,0.101534,0.149984,1.3121,1,0.616704,0.126918,0.299984,-3.00971e+16,
0,0,0.101534,0.224984,1.3412,1,0.62447,0.126918,0.299984,-3.00971e+16,
0,0,0.101534,0.299984,1.38115,1,0.628352,0.189418,0.225016,-3.00971e+16,
0,0,0.151534,-0.300016,1.17701,1,0.642912,0.189418,0.225016,-3.00971e+16,
0,0,0.151534,-0.225016,1.12349,1,0.643882,0.00191768,1.62751e-05,0,
0,0,0.151534,-0.150016,1.08358,1,0.645823,0.00191768,1.62751e-05,0,
0,0,0.151534,-0.0750163,1.05881,1,0.651644,0.189418,0.0749837,-3.00971e+16,
0,0,0.151534,-1.62751e-05,1.04948,1,1,0.189418,0.0749837,-3.00971e+16,
0,0,0.151534,0.0749837,1.05657,1,0.593402,0.189418,0.224984,-3.00971e+16,
0,0,0.151534,0.149984,1.07992,1,0.616704,0.189418,0.224984,-3.00971e+16,
0,0,0.151534,0.224984,1.11853,1,0.62447,0.251918,0.300016,-3.00971e+16,
0,0,0.151534,0.299984,1.17091,1,0.628352,0.251918,0.300016,-3.00971e+16,
0,0,0.201534,-0.300016,0.972151,1,0.642912,0.251918,0.150016,-3.00971e+16,
0,0,0.201534,-0.225016,0.90474,1,0.643882,0.251918,0.150016,-3.00971e+16,
0,0,0.201534,-0.150016,0.853629,1,0.645823,0.251918,1.62751e-05,-3.00971e+16,
0,0,0.201534,-0.0750163,0.821465,1,0.651644,0.251918,1.62751e-05,-3.00971e+16,
0,0,0.201534,-1.62751e-05,0.8095,1,1,0.251918,0.149984,-3.00971e+16,
0,0,0.201534,0.0749837,0.818812,1,0.593402,0.251918,0.149984,-3.00971e+16,
0,0,0.201534,0.149984,0.849202,1,0.616704,0.251918,0.299984,-3.00971e+16,
0,0,0.201534,0.224984,0.898785,1,0.62447,0.251918,0.299984,-3.00971e+16,
0,0,0.201534,0.299984,0.964945,1,0.628352,0.00191768,1.62751e-05,0,
0,0,0.00211967,-2.61888e-05,1.76663,1,1,0.00264958,2.61888e-05,0,
0,0,0,0,1.77681,1,1,0.00264958,2.61888e-05,0,
0,0,0.00211967,-0.300026,1.77648,1,0.0649792,0.00264958,2.61888e-05,0,
0,0,0.00211967,-0.225026,1.77612,1,0.122194,0.00264958,2.61888e-05,0,
0,0,0.00211967,-0.150026,1.77498,1,0.289956,0.00264958,2.61888e-05,0,
0,0,0.00211967,-0.0750262,1.77001,1,0.686571,0.00264958,2.61888e-05,0,
0,0,0.00211967,-2.61888e-05,1.76663,1,1,0.00264958,2.61888e-05,0,
0,0,0.00211967,0.0749738,1.76858,1,0.593396,0.00264958,2.61888e-05,0,
0,0,0.00211967,0.149974,1.77361,1,0.323369,0.00264958,2.61888e-05,0,
0,0,0.00211967,0.224974,1.7752,1,0.144469,0.00264958,2.61888e-05,0,
0,0,0.00211967,0.299974,1.7758,1,0.0950187,0.00264958,2.61888e-05,0,
0,0,0.0521197,-0.300026,1.59618,1,0.642911,0.00264958,2.61888e-05,0,
0,0,0.0521197,-0.225026,1.56672,1,0.643882,0.00264958,2.61888e-05,0,
0,0,0.0521197,-0.150026,1.54518,1,0.645822,0.00264958,2.61888e-05,0,
0,0,0.0521197,-0.0750262,1.53183,1,0.686571,0.00264958,2.61888e-05,0,
0,0,0.0521197,-2.61888e-05,1.52664,1,1,0.00264958,2.61888e-05,0,
0,0,0.0521197,0.0749738,1.53018,1,0.593396,0.00264958,2.61888e-05,0,
0,0,0.0521197,0.149974,1.54236,1,0.616702,0.00264958,2.61888e-05,0,
0,0,0.0521197,0.224974,1.56292,1,0.624469,0.00264958,2.61888e-05,0,
0,0,0.0521197,0.299974,1.59146,1,0.628352,0.00264958,2.61888e-05,0,
0,0,0.10212,-0.300026,1.38399,1,0.642911,0.00264958,2.61888e-05,0,
0,0,0.10212,-0.225026,1.34287,1,0.643882,0.00264958,2.61888e-05,0,
0,0,0.10212,-0.150026,1.31255,1,0.645822,0.00264958,2.61888e-05,0,
0,0,0.10212,-0.0750262,1.29384,1,0.686571,0.00264958,2.61888e-05,0,
0,0,0.10212,-2.61888e-05,1.28665,1,1,0.00264958,2.61888e-05,0,
0,0,0.10212,0.0749738,1.29188,1,0.593396,0.00264958,2.61888e-05,0,
0,0,0.10212,0.149974,1.30937,1,0.616702,0.00264958,2.61888e-05,0,
0,0,0.10212,0.224974,1.33858,1,0.624469,0.00264958,2.61888e-05,0,
0,0,0.10212,0.299974,1.37866,1,0.628352,0.00264958,2.61888e-05,0,
0,0,0.15212,-0.300026,1.17459,1,0.642911,0.00264958,2.61888e-05,0,
0,0,0.15212,-0.225026,1.12091,1,0.643882,0.00264958,2.61888e-05,0,
0,0,0.15212,-0.150026,1.08088,1,0.645822,0.00264958,2.61888e-05,0,
0,0,0.15212,-0.0750262,1.05603,1,0.651643,0.00264958,2.61888e-05,0,
0,0,0.15212,-2.61888e-05,1.04667,1,1,0.00264958,2.61888e-05,0,
0,0,0.15212,0.0749738,1.05378,1,0.593396,0.00264958,2.61888e-05,0,
0,0,0.15212,0.149974,1.0772,1,0.616702,0.00264958,2.61888e-05,0,
0,0,0.15212,0.224974,1.11593,1,0.624469,0.00264958,2.61888e-05,0,
0,0,0.15212,0.299974,1.16846,1,0.628352,0.00264958,2.61888e-05,0,
