CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0.000448198,4.75186e-07,1.76338,1,1,0.000560248,4.75186e-07,
0,0,1.76554,1,1,0.000560248,4.75186e-07,
0.000448198,-0.3,1.76558,1,0.0295784,0.000560248,4.75186e-07,
0.000448198,-0.225,1.76554,1,0.030549,0.000560248,4.75186e-07,
0.000448198,-0.15,1.76549,1,0.0591568,0.000560248,4.75186e-07,
0.000448198,-0.0749995,1.7652,1,0.251647,0.000560248,4.75186e-07,
0.000448198,4.75186e-07,1.76338,1,1,0.000560248,4.75186e-07,
0.000448198,0.0750005,1.76475,1,0.300079,0.000560248,4.75186e-07,
0.000448198,0.15,1.76523,1,0.0833729,0.000560248,0.3,
0.000448198,0.225,1.76534,1,0.0378041,0.000560248,0.3,
0.000448198,0.3,1.7654,1,0.0150198,0.0630602,0.225,
0.0504482,-0.3,1.59164,1,0.642912,0.0630602,0.225,
0.0504482,-0.225,1.5624,1,0.643882,0.0630602,0.0749995,
0.0504482,-0.15,1.54103,1,0.645823,0.0630602,0.0749995,
0.0504482,-0.0749995,1.52795,1,0.651647,0.12556,0.3,
0.0504482,4.75186e-07,1.52338,1,1,0.12556,0.3,
0.0504482,0.0750005,1.52689,1,0.593413,0.0630602,0.225,
0.0504482,0.15,1.53859,1,0.605059,0.0630602,0.225,
0.0504482,0.225,1.55859,1,0.616706,0.12556,0.3,
0.0504482,0.3,1.5865,1,0.62253,0.12556,0.3,
0.100448,-0.3,1.37948,1,0.642912,0.12556,0.15,
0.100448,-0.225,1.33858,1,0.643882,0.12556,0.15,
0.100448,-0.15,1.30842,1,0.645823,0.12556,4.75186e-07,
0.100448,-0.0749995,1.28984,1,0.651647,0.12556,4.75186e-07,
0.100448,4.75186e-07,1.28339,1,1,0.12556,0.15,
0.100448,0.0750005,1.28858,1,0.570119,0.12556,0.15,
0.100448,0.15,1.30549,1,0.605059,0.12556,0.3,
0.100448,0.225,1.33408,1,0.616706,0.12556,0.3,
0.100448,0.3,1.37351,1,0.62253,0.18806,0.225,
0.150448,-0.3,1.17016,1,0.642912,0.18806,0.225,
0.150448,-0.225,1.11666,1,0.643882,0.000560248,4.75186e-07,
0.150448,-0.15,1.07677,1,0.645823,0.000560248,4.75186e-07,
0.150448,-0.0749995,1.052,1,0.651647,0.18806,0.0750005,
0.150448,4.75186e-07,1.0434,1,1,0.18806,0.0750005,
0.150448,0.0750005,1.05039,1,0.570119,0.18806,0.225,
0.150448,0.15,1.07314,1,0.605059,0.18806,0.225,
0.150448,0.225,1.11119,1,0.616706,0.25056,0.3,
0.150448,0.3,1.16305,1,0.62253,0.25056,0.3,
0.200448,-0.3,0.965491,1,0.642912,0.25056,0.15,
0.200448,-0.225,0.898047,1,0.643882,0.25056,0.15,
0.200448,-0.15,0.846883,1,0.645823,0.25056,4.75186e-07,
0.200448,-0.0749995,0.814673,1,0.651647,0.25056,4.75186e-07,
0.200448,4.75186e-07,0.803415,1,1,0.25056,0.15,
0.200448,0.0750005,0.812497,1,0.570119,0.25056,0.15,
0.200448,0.15,0.842186,1,0.605059,0.25056,0.3,
0.200448,0.225,0.891161,1,0.616706,0.25056,0.3,
0.200448,0.3,0.956803,1,0.62253,0.000560248,4.75186e-07,
-0.000469491,1.07346e-05,1.76328,1,1,0.000586864,1.07346e-05,
0,0,1.76554,1,1,0.000586864,1.07346e-05,
0.0495305,-0.299989,1.59554,1,0.642912,0.000586864,1.07346e-05,
0.0495305,-0.224989,1.56652,1,0.643882,0.000586864,1.07346e-05,
0.0495305,-0.149989,1.54531,1,0.645824,0.000586864,1.07346e-05,
0.0495305,-0.0749893,1.53232,1,0.651649,0.000586864,1.07346e-05,
0.0495305,1.07346e-05,1.5278,1,1,0.000586864,1.07346e-05,
0.0495305,0.0750107,1.53127,1,0.593419,0.000586864,1.07346e-05,
0.0495305,0.150011,1.54288,1,0.605062,0.000586864,1.07346e-05,
0.0495305,0.225011,1.56272,1,0.616707,0.000586864,1.07346e-05,
0.0495305,0.300011,1.59044,1,0.62253,0.000586864,1.07346e-05,
0.0995305,-0.299989,1.38335,1,0.642912,0.000586864,1.07346e-05,
0.0995305,-0.224989,1.34267,1,0.643882,0.000586864,1.07346e-05,
0.0995305,-0.149989,1.31267,1,0.645824,0.000586864,1.07346e-05,
0.0995305,-0.0749893,1.29421,1,0.651649,0.000586864,1.07346e-05,
0.0995305,1.07346e-05,1.28781,1,1,0.000586864,1.07346e-05,
0.0995305,0.0750107,1.29295,1,0.570128,0.000586864,1.07346e-05,
0.0995305,0.150011,1.30976,1,0.605062,0.000586864,1.07346e-05,
0.0995305,0.225011,1.33819,1,0.616707,0.000586864,1.07346e-05,
0.0995305,0.300011,1.37741,1,0.62253,0.000586864,1.07346e-05,
0.149531,-0.299989,1.17395,1,0.642912,0.000586864,1.07346e-05,
0.149531,-0.224989,1.1207,1,0.643882,0.000586864,1.07346e-05,
0.149531,-0.149989,1.081,1,0.645824,0.000586864,1.07346e-05,
0.149531,-0.0749893,1.05636,1,0.651649,0.000586864,1.07346e-05,
0.149531,1.07346e-05,1.04782,1,1,0.000586864,1.07346e-05,
0.149531,0.0750107,1.05476,1,0.570128,0.000586864,1.07346e-05,
0.149531,0.150011,1.0774,1,0.605062,0.000586864,1.07346e-05,
0.149531,0.225011,1.11527,1,0.616707,0.000586864,1.07346e-05,
