joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0,0,0.00734388,-0.00709508,2.09649,1,1,0.00917985,0.307095,
0,0,0,0,2.12491,1,1,0.00917985,0.292905,
0,0,0.00734388,-0.307095,2.13026,1,0.77476,0.25918,0.0679049,
0,0,0.00734388,-0.232095,2.12862,1,1,0.25918,0.0679049,
0,0,0.00734388,-0.157095,2.12698,1,1,0.13418,0.307095,
0,0,0.00734388,-0.0820951,2.12535,1,1,0.13418,0.307095,
0,0,0.00734388,-0.00709508,2.09649,1,1,0.13418,0.307095,
0,0,0.00734388,0.0679049,2.05862,1,1,0.13418,0.307095,
0,0,0.00734388,0.142905,2.02496,1,0.967612,0.00917985,0.00709508,
0,0,0.00734388,0.217905,1.99569,1,0.414293,0.00917985,0.00709508,
0,0,0.00734388,0.292905,1.97102,1,0.144335,0.00917985,0.00709508,
0,0,0.0573439,-0.307095,2.09321,1,1,0.00917985,0.00709508,
0,0,0.0573439,-0.232095,2.04175,1,1,0.00917985,0.00709508,
0,0,0.0573439,-0.157095,1.98248,1,1,0.00917985,0.00709508,
0,0,0.0573439,-0.0820951,1.92866,1,1,0.00917985,0.00709508,
0,0,0.0573439,-0.00709508,1.88081,1,1,0.00917985,0.00709508,
0,0,0.0573439,0.0679049,1.83944,1,1,0.25918,0.292905,
0,0,0.0573439,0.142905,1.80496,1,0.967612,0.25918,0.292905,
0,0,0.0573439,0.217905,1.77773,1,0.414293,0.25918,0.292905,
0,0,0.0573439,0.292905,1.75798,1,0.144335,0.25918,0.292905,
0,0,0.107344,-0.307095,1.93455,1,1,0.25918,0.292905,
0,0,0.107344,-0.232095,1.8587,1,1,0.25918,0.292905,
0,0,0.107344,-0.157095,1.78905,1,1,0.25918,0.292905,
0,0,0.107344,-0.0820951,1.72646,1,1,0.25918,0.292905,
0,0,0.107344,-0.00709508,1.67178,1,1,0.25918,0.292905,
0,0,0.107344,0.0679049,1.62584,1,1,0.25918,0.292905,
0,0,0.107344,0.142905,1.58937,1,0.967612,0.25918,0.292905,
0,0,0.107344,0.217905,1.56299,1,0.414293,0.25918,0.292905,
0,0,0.107344,0.292905,1.54709,1,0.144335,0.25918,0.292905,
0,0,0.157344,-0.307095,1.77365,1,1,0.25918,0.292905,
0,0,0.157344,-0.232095,1.68657,1,1,0.25918,0.292905,
0,0,0.157344,-0.157095,1.60655,1,1,0.25918,0.292905,
0,0,0.157344,-0.0820951,1.5347,1,1,0.19668,0.0679049,
0,0,0.157344,-0.00709508,1.47221,1,1,0.19668,0.0679049,
0,0,0.157344,0.0679049,1.42033,1,1,0.19668,0.217905,
0,0,0.157344,0.142905,1.38024,1,0.967612,0.19668,0.217905,
0,0,0.157344,0.217905,1.35299,1,0.414293,0.25918,0.307095,
0,0,0.157344,0.292905,1.33938,1,0.144335,0.25918,0.307095,
0,0,0.207344,-0.307095,1.62633,1,1,0.25918,0.157095,
0,0,0.207344,-0.232095,1.52907,1,1,0.25918,0.157095,
0,0,0.207344,-0.157095,1.43915,1,1,0.25918,0.00709508,
0,0,0.207344,-0.0820951,1.35782,1,1,0.25918,0.00709508,
0,0,0.207344,-0.00709508,1.28653,1,1,0.25918,0.142905,
0,0,0.207344,0.0679049,1.22699,1,1,0.25918,0.142905,
0,0,0.207344,0.142905,1.181,1,0.967612,0.25918,0.292905,
0,0,0.207344,0.217905,1.15036,1,0.414293,0.25918,0.292905,
0,0,0.207344,0.292905,1.13658,1,0.144335,0.00917985,0.00709508,
0,0,0.00826649,-0.00243257,2.08999,1,1,0.0103331,0.00243257,
0,0,0,0,2.12491,1,1,0.0103331,0.00243257,
0,0,0.00826649,-0.302433,2.12999,1,0.786293,0.0103331,0.00243257,
