dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.448,-0.000239222,-7.27867e-08,0,1,0,1,0,0,0,0,0,0,0
0.479,-0.000238888,-6.78162e-08,0,1,0,1,0,0,0,0,0,0,0
0.683,-0.000238932,-7.2589e-08,0,1,0,1,0.799966,1.77308e-06,0.799968,0.160027,-8.91401e-07,0.8,0
0.891,0.00293142,-4.69256e-08,0,1,0,1,0.666515,4.85937e-06,0.66652,0.266788,-4.07283e-06,0.8,0
1.109,0.043399,4.91092e-09,0,1,0,1,0.426544,9.24587e-05,0.426636,0.458765,0.000133256,0.8,0
1.309,0.102421,7.20981e-05,0,1,0,1,0.285289,0.016093,0.301382,0.571769,-0.0289319,0.8,0
1.498,0.194506,-0.000644604,0,1,0,1,0.0971587,0.00622834,0.103387,0.722273,0.0141345,0.8,0
1.692,0.314258,-0.00222194,0,1,0,1,0.0224835,0.00284681,0.0253303,0.782013,-0.00699413,0.8,0
1.88,0.461702,-0.0039598,0,1,0,1,0.0224289,0.00259103,0.0250199,0.782057,-0.00636604,0.8,0
2.083,0.618047,-0.00579928,0,1,0,1,0.0234597,0.00345584,0.0269155,0.781232,-0.00848206,0.8,0
2.278,0.800149,-0.00817844,0,1,0,1,0.0251609,0.00328356,0.0284445,0.779871,-0.00804512,0.8,0
2.492,0.930468,-0.0100823,0,1,0,1,0.0252165,0.00311909,0.0283356,0.779827,-0.00764169,0.8,0
2.679,1.08638,-0.0125709,0,1,0,1,0.0221147,0.00209521,0.0242099,0.782308,-0.00514946,0.8,0
2.879,1.21688,-0.0148197,0,1,0,1,0.0245161,0.00205395,0.0265701,0.780387,-0.00503565,0.8,0
3.08,1.39889,-0.0181332,0,1,0,1,0.0239037,0.00177584,0.0256796,0.780877,-0.00435653,0.8,0
3.287,1.55496,-0.0211249,0,1,0,1,0.0210658,0.000795074,0.0218609,0.783147,-0.00195615,0.8,0
3.485,1.71137,-0.0242426,0,1,0,1,0.0248764,0.000619821,0.0254962,0.780099,-0.00151903,0.8,0
3.692,1.86759,-0.0274136,0,1,0,1,0.0241611,0.000447167,0.0246083,0.780671,-0.0010967,0.8,0
3.886,2.0236,-0.030615,0,1,0,1,0.0212763,0.000375077,0.0216514,0.782979,0.000922615,0.8,0
4.09,2.18004,-0.0338475,0,1,0,1,0.0216536,0.000377977,0.0220316,0.782677,0.00092939,0.8,0
4.289,2.33659,-0.0370566,0,1,0,1,0.0208478,0.000449238,0.021297,0.783322,0.00110552,0.8,0
4.491,2.49311,-0.040233,0,1,0,1,0.0686986,0.000773734,0.0694723,0.745041,0.00181102,0.8,0
4.698,2.67074,-0.0438238,0,1,0,1,0.169403,0.000860211,0.170263,0.664478,0.00179571,0.8,0
4.906,2.78963,-0.0461293,0,1,0,1,0.219928,0.00428364,0.224212,0.624057,-0.00839872,0.8,0
5.11,2.89813,-0.0482075,0,1,0,1,0.174745,0.142764,0.317509,0.660204,0.3177,0.8,0
5.31,3.04631,-0.0500853,0,1,0,1,0.0242068,0.1893,0.213507,0.780635,0.528012,0.8,0
5.503,3.18117,-0.0458745,0,1,0,1,0.358738,0.133051,0.491789,0.51301,0.227862,0.8,0
5.706,3.32265,-0.0378213,0,1,0,1,0.470539,0.0478663,0.518405,0.423569,0.0641793,0.8,0
5.919,3.42559,-0.0293586,0,1,0,1,0.400098,0.153167,0.553265,0.479922,0.328085,0.8,1.5
6.119,3.51495,-0.0206729,0,1,0,1,0.150202,0.110782,0.260984,0.679838,0.611846,0.8,1.5
6.307,3.63283,-0.00326717,0,1,0,1,0.524185,0.132177,0.656362,0.380652,0.298852,0.8,1.5
6.513,3.72982,0.0139445,0,1,0,1,0.49429,0.0717233,0.566013,0.404568,0.417354,0.8,1.32103
6.725,3.81434,0.031779,0,1,0,1,0.244354,0.0745263,0.31888,0.604517,0.683589,0.8,1.5
6.918,3.89857,0.0555508,0,1,0,1,0.349839,0.0764774,0.426316,0.520129,0.580948,0.8,1.5
7.109,3.98603,0.0863644,0,1,0,1,0.193055,0.0717183,0.264773,0.645556,0.743104,0.8,1.5
7.302,4.10266,0.141511,0,1,0,1,0.0336832,0.0749992,0.108682,0.773053,0.871558,0.8,1.5
7.494,4.21476,0.21069,0,1,0,1,0.358237,0.0583662,0.416603,0.513411,0.643636,0.8,1.5
7.694,4.32287,0.291644,0,1,0,1,0.407284,0.0320863,0.439371,0.474173,0.707028,0.8,1.5
7.908,4.3988,0.360334,0,1,0,1,0.161338,0.0503757,0.211713,0.67093,0.885839,0.8,1.5
8.098,4.46614,0.43756,0,1,0,1,0.454294,0.0153225,0.469616,0.436565,0.731458,0.8,1.5
8.306,4.53631,0.540368,0,1,0,1,0.114879,0.105505,0.220384,0.708097,0.658848,0.8,1.5
8.504,4.58982,0.644919,0,1,0,1,0.058539,0.13291,0.191449,0.753169,0.588519,0.8,1.5
8.696,4.63132,0.751807,0,1,0,1,0.00586497,0.166735,0.1726,0.795308,0.495329,0.8,1.5
8.895,4.67487,0.901597,0,1,0,1,0.00548482,0.180154,0.185639,0.795612,0.450133,0.8,1.5
9.094,4.70537,1.05766,0,1,0,1,0.00368641,0.208145,0.211831,0.802949,0.365272,0.8,1.5
9.303,4.72376,1.2167,0,1,0,1,0.00346259,0.214782,0.218244,0.80277,0.345177,0.8,1.5
9.507,4.73091,1.35055,0,1,0,1,0.00730761,0.225547,0.232855,0.805846,0.314656,0.8,1.5
9.717,4.72914,1.53769,0,1,0,1,0.00232045,0.240249,0.242569,0.798144,0.269889,0.8,1.5
9.917,4.71734,1.69759,0,1,0,1,0.00516696,0.26605,0.271217,0.795866,0.199,0.8,1.5
10.113,4.69763,1.85581,0,1,0,1,0.00408909,0.2958,0.299889,0.796729,0.121683,0.8,1.5
10.309,4.67213,2.01264,0,1,0,1,0.0124673,0.297155,0.309623,0.790026,0.117218,0.8,1.5
10.512,4.64327,2.16873,0,1,0,1,0.0149209,0.00305583,0.0179767,0.788063,-0.00756577,0.8,-0
10.705,4.61093,2.32321,0,1,0,1,0.0140972,0.00262281,0.0167201,0.788722,-0.00649907,0.8,-0
10.91,4.577,2.47693,0,1,0,1,0.0164045,0.00609295,0.0224974,0.786876,-0.0150639,0.8,-0
11.11,4.53788,2.65644,0,1,0,1,0.0175622,0.00880697,0.0263692,0.78595,-0.0217511,0.8,-0
11.315,4.51042,2.78481,0,1,0,1,0.0165226,0.0119816,0.0285042,0.786782,0.0296296,0.8,-0
11.522,4.48332,2.91316,0,1,0,1,0.0229593,0.00290433,0.0258636,0.781633,-0.00713199,0.8,-0
11.719,4.44002,3.11715,0,1,0,1,0.0221974,0.268686,0.290883,0.782242,-0.188725,0.8,-1.5
11.919,4.41332,3.2442,0,1,0,1,0.0206065,0.275081,0.295687,0.783515,-0.172453,0.8,-1.5
12.117,4.38511,3.39788,0,1,0,1,0.483811,0.358465,0.842275,0.579351,-0.190154,0.192303,-1.5
12.323,4.36288,3.54695,0,1,0,1,0.609504,0.402885,1.01239,0,-0.2343,-0,-1.5
12.545,4.34949,3.66193,0,1,0,1,0.340282,0.345717,0.685999,0.272226,-0.413898,-0,-1.5
12.749,4.34351,3.73589,0,1,0,1,0.116991,0.308483,0.425474,0.093593,-0.530873,-0,-1.5
12.949,4.34213,3.7885,0,1,0,1,0.035786,0.303228,0.339014,0.0286288,-0.547381,-0,-1.5
13.129,4.34281,3.81346,0,1,0,1,0.67053,0.00568244,0.676213,0.263576,-0.516191,0.8,-1.5
13.336,4.34467,3.8286,0,1,0,1,0.542052,0.0139312,0.555984,0.366358,-0.619969,0.8,-1.5
13.525,4.35272,3.87692,0,1,0,1,0.382022,0.0184621,0.400484,0.494383,-0.635709,0.8,-0.913996
13.722,4.3701,3.95197,0,1,0,1,0.466672,0.0468076,0.51348,0.426662,-0.576646,0.8,-1.5
