dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.487,-0.000168992,-6.28205e-07,0,1,0,1,0,0,0,0,0,0,0
0.515,-0.000168872,-6.27601e-07,0,1,0,1,0,0,0,0,0,0,0
0.712,-0.000168703,-6.26723e-07,0,1,0,1,0,0,0,0,0,0,0
0.914,-0.00016848,-6.29057e-07,0,1,0,1,0,0,0,0,0,0,0
1.125,-0.000168447,-6.29968e-07,0,1,0,1,0,0,0,0,0,0,0
1.319,-0.00016775,-6.29029e-07,0,1,0,1,0,0,0,0,0,0,0
1.518,-0.000168037,-6.32615e-07,0,1,0,1,0,0,0,0,0,0,0
1.718,-0.00016852,-6.3706e-07,0,1,0,1,0,0,0,0,0,0,0
1.923,-0.000167602,-6.3721e-07,0,1,0,1,0,0,0,0,0,0,0
2.126,-0.000167228,-6.36956e-07,0,1,0,1,0,0,0,0,0,0,0
2.323,-0.000167196,-6.38999e-07,0,1,0,1,0,0,0,0,0,0,0
2.522,-0.000167054,-6.38972e-07,0,1,0,1,0,0,0,0,0,0,0
2.731,-0.000164723,-6.4089e-07,0,1,0,1,0,0,0,0,0,0,0
2.931,-0.000166364,-6.42981e-07,0,1,0,1,0,0,0,0,0,0,0
3.129,-0.000166109,-6.39631e-07,0,1,0,1,0,0,0,0,0,0,0
3.332,-0.000166206,-6.46211e-07,0,1,0,1,0,0,0,0,0,0,0
3.52,-0.000165915,-6.4473e-07,0,1,0,1,0,0,0,0,0,0,0
3.726,-0.00016569,-6.47062e-07,0,1,0,1,0,0,0,0,0,0,0
3.935,-0.000165655,-6.4797e-07,0,1,0,1,0,0,0,0,0,0,0
4.128,-0.000164956,-6.47032e-07,0,1,0,1,0,0,0,0,0,0,0
4.327,-0.000165241,-6.50615e-07,0,1,0,1,0.800456,1.35027e-05,0.80047,0.159635,-6.77173e-06,0.8,0
4.56,0.0105628,4.42471e-08,0,1,0,1,0.581107,1.58302e-07,0.581107,0.335115,1.66659e-07,0.8,0
4.767,0.040272,1.26967e-06,0,1,0,1,0.469263,0.000421858,0.469685,0.424589,0.000562711,0.8,0
4.958,0.10544,6.07451e-05,0,1,0,1,0.245885,0.00852286,0.254408,0.603292,-0.0161572,0.8,0
5.154,0.192898,0.000321123,0,1,0,1,0.135071,0.00277337,0.137844,0.691943,-0.00602891,0.8,0
5.334,0.337053,0.000779174,0,1,0,1,0.0413249,0.00584765,0.0471725,0.76694,-0.014091,0.8,0
5.536,0.483344,0.00141967,0,1,0,1,0.0409792,0.0057999,0.0467791,0.767217,-0.013981,0.8,0
5.734,0.611034,0.0018364,0,1,0,1,0.0362125,0.00392546,0.0401379,0.77103,-0.00950897,0.8,0
5.931,0.764934,0.00234343,0,1,0,1,0.0360476,0.00366117,0.0397088,0.771162,-0.00887021,0.8,0
6.13,0.918961,0.00271844,0,1,0,1,0.0361496,0.00433766,0.0404872,0.77108,-0.0105083,0.8,0
6.332,1.09858,0.00295838,0,1,0,1,0.0379123,0.00616455,0.0440769,0.76967,-0.0149077,0.8,0
6.537,1.22725,0.00286315,0,1,0,1,0.0405236,0.00603502,0.0465586,0.767581,-0.0145547,0.8,0
