dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,3

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
0.433,3.48304,9.28273,0,1,0,1,0,0,0,0,0
0.444,3.48304,9.28273,0,1,0,1,0,0,0,0,0
0.645,3.48321,9.28292,0,1,0,1,0,0,0,0,0
1.243,3.53006,9.32565,0,1,0,1,0,0,0,0,0
1.44,3.57502,9.3634,0,1,0,1,0,0,0,0,0
1.654,3.59025,9.37544,0,1,0,1,0,0,0,0,0
1.855,3.59032,9.37548,0,1,0,1,0,0,0,0,0
2.056,3.59036,9.37551,0,1,0,1,0.046916,0.257836,0.304752,0.0375328,-0.299365
2.263,3.58667,9.37282,0,1,0,1,0.0481842,0.613893,0.662078,0.0385474,-0.57916
2.472,3.58248,9.37005,0,1,0,1,0.0476009,0.440157,0.487758,0.0380807,-0.839765
2.677,3.5764,9.36692,0,1,0,1,0.0491565,0.136284,0.18544,0.0393252,-1.11656
2.891,3.56975,9.36478,0,1,0,1,0.00195307,0.568314,0.570267,0.00156245,-0.852471
3.078,3.56683,9.36431,0,1,0,1,0.0498297,0.387475,0.437305,0.0398637,-0.581212
3.276,3.56157,9.36459,0,1,0,1,0.750485,0.215691,0.966176,0.199612,-0.323537
3.501,3.54612,9.36729,0,1,0,1,0.5258,0.00916062,0.534961,0.37936,0.0137409
3.69,3.51013,9.37711,0,1,0,1,0.837704,0.438279,1.27598,0,-0.657418
3.885,3.47115,9.39316,0,1,0,1,0.895297,0.382276,1.27757,0,-0.573414
4.072,3.46665,9.39563,0,1,0,1,0.896991,0.21211,1.1091,0,-0.318165
4.276,3.46539,9.39662,0,1,0,1,0.846753,0.0465585,0.893312,0.122598,-0.0698377
4.488,3.45881,9.40261,0,1,0,1,0.798763,0.0461142,0.844877,0.16099,0.0691713
4.688,3.43965,9.42074,0,1,0,1,0.551469,0.247709,0.799178,0.358825,0.371564
4.894,3.41125,9.44809,0,1,0,1,0.742534,0.773911,1.51645,0,0.274081
5.089,3.37639,9.48173,0.190376,0.809624,0.7975,0.2025,0.775039,0.981569,1.81413,0,0.0276469
5.273,3.36967,9.48841,0,1,0,1,0.819361,0.857571,1.67693,0,0.213644
5.474,3.36886,9.48914,0,1,0,1,0.802139,0.687616,1.48975,0,0.468576
5.675,3.36993,9.48802,0,1,0,1,0.827722,0.658932,1.48665,0,0.511602
5.876,3.37243,9.48573,0,1,0,1,0.812782,0.562546,1.37533,0,0.656181
6.079,3.37175,9.48599,0,1,0,1,0.806308,0.00222613,0.808534,0.154954,0.861892
6.296,3.36495,9.48947,0,1,0,1,0.612768,0.0184795,0.631248,0.309786,0.349135
6.511,3.3353,9.50207,0,1,0,1,0.486771,0.105233,0.592004,0.410583,0.15785
6.711,3.2663,9.52351,0,1,0,1,0.282967,0.1161,0.399068,0.573626,0.17415
6.915,3.18613,9.54277,0,1,0,1,0.167882,0.109647,0.277529,0.665695,0.164471
7.107,3.09514,9.55984,0,1,0,1,0.280146,0.0523357,0.332482,0.575883,0.0785035
7.307,2.94931,9.57853,0,1,0,1,0.27688,0.0848592,0.36174,0.578496,0.127289
7.509,2.8345,9.58964,0,1,0,1,0.330075,0.0416888,0.371764,0.53594,0.0625331
7.71,2.7232,9.59814,0,1,0,1,0.33172,0.0329963,0.364716,0.534624,0.0494944
7.915,2.61643,9.60482,0,1,0,1,0.178095,0.106822,0.284917,0.657524,0.160233
8.104,2.50433,9.61113,0,1,0,1,0.0300358,0.0691565,0.0991923,0.775971,0.103735
8.293,2.36325,9.61666,0,1,0,1,0.026605,0.0288301,0.0554351,0.778716,0.0432451
8.493,2.23461,9.61841,0,1,0,1,0.0244767,0.0139007,0.0383774,0.780419,-0.0208511
8.695,2.07878,9.61961,0,1,0,1,0.125698,0.0182438,0.143942,0.699442,0.0273658
8.901,1.92898,9.62076,0,1,0,1,0.176766,0.00837067,0.185137,0.658587,0.012556
9.106,1.79202,9.62079,0,1,0,1,0.231191,0.00219074,0.233382,0.615047,-0.00328611
9.309,1.66198,9.61982,0,1,0,1,0.281257,0.00865776,0.289915,0.574994,-0.0129866
9.51,1.54069,9.61808,0,1,0,1,0.332522,0.00641668,0.338939,0.533982,-0.00962501
9.711,1.42728,9.61612,0,1,0,1,0.374471,0.0165679,0.391039,0.500423,-0.0248518
9.909,1.3057,9.61386,0,1,0,1,0.421936,0.0160404,0.437977,0.462451,-0.0240606
10.113,1.21024,9.61227,0,1,0,1,0.466811,0.0129968,0.479808,0.426551,0.0194952
10.313,1.12041,9.61087,0,1,0,1,0.514909,0.0147863,0.529695,0.388073,-0.0221794
10.511,1.03876,9.60928,0,1,0,1,0.561515,0.0151004,0.576616,0.350788,-0.0226506
10.708,0.964854,9.6079,0,1,0,1,0.565723,0.0119032,0.577626,0.347421,0.0178547
10.907,0.895025,9.60669,0,1,0,1,0.610606,0.0154684,0.626074,0.311515,-0.0232025
11.109,0.829803,9.60545,0,1,0,1,0.608217,0.0249565,0.633174,0.313426,0.0374348
11.304,0.767456,9.6043,0,1,0,1,0.657485,0.0111428,0.668628,0.274012,-0.0167142
11.511,0.718974,9.6031,0,1,0,1,0.70492,0.019252,0.724172,0.236064,-0.028878
11.706,0.667079,9.60194,0,1,0,1,0.713253,0.0167226,0.729975,0.229398,-0.0250839
11.907,0.61273,9.60081,0,1,0,1,0.710575,0.0160927,0.726668,0.23154,-0.024139
12.107,0.566612,9.60008,0,1,0,1,0.759184,0.0161963,0.77538,0.192653,-0.0242945
12.305,0.524508,9.59963,0,1,0,1,0.759649,0.0165933,0.776242,0.192281,0.02489
12.503,0.486018,9.59941,0,1,0,1,0.805512,0.0080696,0.813581,0.155591,0.0121044
12.705,0.453167,9.59923,0,1,0,1,0.76931,0.0511617,0.820472,0.184552,-0.0767426
12.905,0.419367,9.59952,0,1,0,1,0.813905,0.0151622,0.829067,0.148876,0.0227432
13.1,0.386866,9.60013,0,1,0,1,0.816612,0.0144865,0.831098,0.146711,0.0217297
13.302,0.357423,9.60061,0,1,0,1,0.814544,0.0267357,0.84128,0.148365,-0.0401036
13.504,0.332938,9.60096,0,1,0,1,0.861986,0.013043,0.875029,0.110411,0.0195644
13.7,0.30649,9.60148,0,1,0,1,0.763425,0.764036,1.52746,0,0.353946
13.889,0.29078,9.60176,0,1,0,1,0.702967,0.480327,1.18329,0,0.779509
14.098,0.286525,9.60153,0,1,0,1,0.554394,0.616361,1.17076,0,0.575459
14.293,0.278138,9.60073,0,1,0,1,0.667176,0.552627,1.2198,0,0.67106
