dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1.875

joyvel,joyang,CandVel,CandAng,adm,safe,vel_h_cost,ang_h_cost,cost
0,0,0.100445,-0.0230247,1,0,0.125556,0.0153498,1
0,0,0,0,0,1,0,0,0
0,0,0.000444717,-0.773025,0.998045,0.00195548,0.000555896,0.51535,0.999053
0,0,0.000444717,-0.623025,0.997574,0.00242628,0.000555896,0.41535,0.998583
0,0,0.000444717,-0.473025,0.996804,0.00319567,0.000555896,0.31535,0.997814
0,0,0.000444717,-0.323025,0.99532,0.00467962,0.000555896,0.21535,0.996331
0,0,0.000444717,-0.173025,0.991264,0.00873649,0.000555896,0.11535,0.992276
0,0,0.000444717,-0.0230247,0.934354,0.0656461,0.000555896,0.0153498,0.935398
0,0,0.000444717,0.126975,0.988095,0.0119049,0.000555896,0.0846502,0.989109
0,0,0.000444717,0.276975,0.994542,0.00545764,0.000555896,0.18465,0.995553
0,0,0.000444717,0.426975,0.99646,0.00354033,0.000555896,0.28465,0.997469
0,0,0.000444717,0.576975,0.99738,0.00261992,0.000555896,0.38465,0.998389
0,0,0.100445,-0.773025,1,0,0.125556,0.51535,1
0,0,0.100445,-0.623025,1,0,0.125556,0.41535,1
0,0,0.100445,-0.473025,1,0,0.125556,0.31535,1
0,0,0.100445,-0.323025,1,0,0.125556,0.21535,1
0,0,0.100445,-0.173025,1,0,0.125556,0.11535,1
0,0,0.100445,-0.0230247,1,0,0.125556,0.0153498,1
0,0,0.100445,0.126975,1,0,0.125556,0.0846502,1
0,0,0.100445,0.276975,1,0,0.125556,0.18465,1
0,0,0.100445,0.426975,1,0,0.125556,0.28465,1
0,0,0.100445,0.576975,1,0,0.125556,0.38465,1
0,0,0.200445,-0.773025,1,0,0.250556,0.51535,1
0,0,0.200445,-0.623025,1,0,0.250556,0.41535,1
0,0,0.200445,-0.473025,1,0,0.250556,0.31535,1
0,0,0.200445,-0.323025,1,0,0.250556,0.21535,1
0,0,0.200445,-0.173025,1,0,0.250556,0.11535,1
0,0,0.200445,-0.0230247,1,0,0.250556,0.0153498,1
0,0,0.200445,0.126975,1,0,0.250556,0.0846502,1
0,0,0.200445,0.276975,1,0,0.250556,0.18465,1
0,0,0.200445,0.426975,1,0,0.250556,0.28465,1
0,0,0.200445,0.576975,1,0,0.250556,0.38465,1
0,0,0.300445,-0.773025,1,0,0.375556,0.51535,1
0,0,0.300445,-0.623025,1,0,0.375556,0.41535,1
0,0,0.300445,-0.473025,1,0,0.375556,0.31535,1
0,0,0.300445,-0.323025,1,0,0.375556,0.21535,1
0,0,0.300445,-0.173025,1,0,0.375556,0.11535,1
0,0,0.300445,-0.0230247,1,0,0.375556,0.0153498,1
0,0,0.300445,0.126975,1,0,0.375556,0.0846502,1
0,0,0.300445,0.276975,1,0,0.375556,0.18465,1
0,0,0.300445,0.426975,1,0,0.375556,0.28465,1
0,0,0.300445,0.576975,1,0,0.375556,0.38465,1
0,0,0.400445,-0.773025,0.999298,0.000702198,0.500556,0.51535,1.00001
0,0,0.400445,-0.623025,0.999157,0.000843247,0.500556,0.41535,0.999929
0,0,0.400445,-0.473025,0.998956,0.00104358,0.500556,0.31535,0.999808
0,0,0.400445,-0.323025,0.998668,0.0013319,0.500556,0.21535,0.999622
0,0,0.400445,-0.173025,0.998292,0.00170797,0.500556,0.11535,0.999344
0,0,0.400445,-0.0230247,0.998022,0.0019784,0.500556,0.0153498,0.999042
0,0,0.400445,0.126975,0.99818,0.00182034,0.500556,0.0846502,0.999245
0,0,0.400445,0.276975,0.998559,0.00144086,0.500556,0.18465,0.999546
0,0,0.400445,0.426975,0.998879,0.00112142,0.500556,0.28465,0.999759
0,0,0.400445,0.576975,0.999103,0.000897203,0.500556,0.38465,0.999897
0,0,0.500445,-0.773025,0.999321,0.000678733,0.625556,0.51535,1.0001
0,0,0.500445,-0.623025,0.999197,0.000803481,0.625556,0.41535,1.00003
0,0,0.500445,-0.473025,0.999029,0.000970886,0.625556,0.31535,0.999943
0,0,0.500445,-0.323025,0.99881,0.00118984,0.625556,0.21535,0.999811
0,0,0.500445,-0.173025,0.998565,0.00143525,0.625556,0.11535,0.999628
0,0,0.500445,-0.0230247,0.998415,0.00158483,0.625556,0.0153498,0.999431
0,0,0.500445,0.126975,0.9985,0.00150002,0.625556,0.0846502,0.999565
0,0,0.500445,0.276975,0.998734,0.00126559,0.625556,0.18465,0.99976
0,0,0.500445,0.426975,0.998967,0.00103262,0.625556,0.28465,0.999907
0,0,0.500445,0.576975,0.99915,0.00084974,0.625556,0.38465,1.00001
0,0,0.600445,-0.773025,0.999347,0.000653019,0.750556,0.51535,1.00017
0,0,0.600445,-0.623025,0.999238,0.00076176,0.750556,0.41535,1.00013
0,0,0.600445,-0.473025,0.9991,0.000899772,0.750556,0.31535,1.00006
0,0,0.600445,-0.323025,0.998934,0.00106559,0.750556,0.21535,0.999964
0,0,0.600445,-0.173025,0.998769,0.00123113,0.750556,0.11535,0.999835
0,0,0.600445,-0.0230247,0.998678,0.00132169,0.750556,0.0153498,0.999691
0,0,0.600445,0.126975,1,0,0.750556,0.0846502,1
0,0,0.600445,0.276975,1,0,0.750556,0.18465,1
0,0,0.600445,0.426975,1,0,0.750556,0.28465,1
0,0,0.600445,0.576975,1,0,0.750556,0.38465,1

0,0,0.100445,-0.0230247,1,0,0.125556,0.0153498,1
0,0,0,0,0,1,0,0,0
0,0,0.000444717,-0.773025,0.998045,0.00195548,0.000555896,0.51535,0.999053
0,0,0.000444717,-0.623025,0.997574,0.00242628,0.000555896,0.41535,0.998583
0,0,0.000444717,-0.473025,0.996804,0.00319567,0.000555896,0.31535,0.997814
0,0,0.000444717,-0.323025,0.99532,0.00467962,0.000555896,0.21535,0.996331
0,0,0.000444717,-0.173025,0.991264,0.00873649,0.000555896,0.11535,0.992276
0,0,0.000444717,-0.0230247,0.934354,0.0656461,0.000555896,0.0153498,0.935398
0,0,0.000444717,0.126975,0.988095,0.0119049,0.000555896,0.0846502,0.989109
0,0,0.000444717,0.276975,0.994542,0.00545764,0.000555896,0.18465,0.995553
0,0,0.000444717,0.426975,0.99646,0.00354033,0.000555896,0.28465,0.997469
0,0,0.000444717,0.576975,0.99738,0.00261992,0.000555896,0.38465,0.998389
0,0,0.100445,-0.773025,1,0,0.125556,0.51535,1
0,0,0.100445,-0.623025,1,0,0.125556,0.41535,1
0,0,0.100445,-0.473025,1,0,0.125556,0.31535,1
0,0,0.100445,-0.323025,1,0,0.125556,0.21535,1
0,0,0.100445,-0.173025,1,0,0.125556,0.11535,1
0,0,0.100445,-0.0230247,1,0,0.125556,0.0153498,1
0,0,0.100445,0.126975,1,0,0.125556,0.0846502,1
0,0,0.100445,0.276975,1,0,0.125556,0.18465,1
0,0,0.100445,0.426975,1,0,0.125556,0.28465,1
0,0,0.100445,0.576975,1,0,0.125556,0.38465,1
0,0,0.200445,-0.773025,1,0,0.250556,0.51535,1
0,0,0.200445,-0.623025,1,0,0.250556,0.41535,1
0,0,0.200445,-0.473025,1,0,0.250556,0.31535,1
0,0,0.200445,-0.323025,1,0,0.250556,0.21535,1
0,0,0.200445,-0.173025,1,0,0.250556,0.11535,1
0,0,0.200445,-0.0230247,1,0,0.250556,0.0153498,1
0,0,0.200445,0.126975,1,0,0.250556,0.0846502,1
0,0,0.200445,0.276975,1,0,0.250556,0.18465,1
0,0,0.200445,0.426975,1,0,0.250556,0.28465,1
0,0,0.200445,0.576975,1,0,0.250556,0.38465,1
0,0,0.300445,-0.773025,1,0,0.375556,0.51535,1
0,0,0.300445,-0.623025,1,0,0.375556,0.41535,1
0,0,0.300445,-0.473025,1,0,0.375556,0.31535,1
0,0,0.300445,-0.323025,1,0,0.375556,0.21535,1
0,0,0.300445,-0.173025,1,0,0.375556,0.11535,1
0,0,0.300445,-0.0230247,1,0,0.375556,0.0153498,1
0,0,0.300445,0.126975,1,0,0.375556,0.0846502,1
0,0,0.300445,0.276975,1,0,0.375556,0.18465,1
0,0,0.300445,0.426975,1,0,0.375556,0.28465,1
0,0,0.300445,0.576975,1,0,0.375556,0.38465,1
0,0,0.400445,-0.773025,0.999298,0.000702198,0.500556,0.51535,1.00001
0,0,0.400445,-0.623025,0.999157,0.000843247,0.500556,0.41535,0.999929
0,0,0.400445,-0.473025,0.998956,0.00104358,0.500556,0.31535,0.999808
0,0,0.400445,-0.323025,0.998668,0.0013319,0.500556,0.21535,0.999622
0,0,0.400445,-0.173025,0.998292,0.00170797,0.500556,0.11535,0.999344
0,0,0.400445,-0.0230247,0.998022,0.0019784,0.500556,0.0153498,0.999042
0,0,0.400445,0.126975,0.99818,0.00182034,0.500556,0.0846502,0.999245
0,0,0.400445,0.276975,0.998559,0.00144086,0.500556,0.18465,0.999546
0,0,0.400445,0.426975,0.998879,0.00112142,0.500556,0.28465,0.999759
0,0,0.400445,0.576975,0.999103,0.000897203,0.500556,0.38465,0.999897
0,0,0.500445,-0.773025,0.999321,0.000678733,0.625556,0.51535,1.0001
0,0,0.500445,-0.623025,0.999197,0.000803481,0.625556,0.41535,1.00003
0,0,0.500445,-0.473025,0.999029,0.000970886,0.625556,0.31535,0.999943
0,0,0.500445,-0.323025,0.99881,0.00118984,0.625556,0.21535,0.999811
0,0,0.500445,-0.173025,0.998565,0.00143525,0.625556,0.11535,0.999628
0,0,0.500445,-0.0230247,0.998415,0.00158483,0.625556,0.0153498,0.999431
0,0,0.500445,0.126975,0.9985,0.00150002,0.625556,0.0846502,0.999565
0,0,0.500445,0.276975,0.998734,0.00126559,0.625556,0.18465,0.99976
0,0,0.500445,0.426975,0.998967,0.00103262,0.625556,0.28465,0.999907
0,0,0.500445,0.576975,0.99915,0.00084974,0.625556,0.38465,1.00001
0,0,0.600445,-0.773025,0.999347,0.000653019,0.750556,0.51535,1.00017
0,0,0.600445,-0.623025,0.999238,0.00076176,0.750556,0.41535,1.00013
0,0,0.600445,-0.473025,0.9991,0.000899772,0.750556,0.31535,1.00006
0,0,0.600445,-0.323025,0.998934,0.00106559,0.750556,0.21535,0.999964
0,0,0.600445,-0.173025,0.998769,0.00123113,0.750556,0.11535,0.999835
0,0,0.600445,-0.0230247,0.998678,0.00132169,0.750556,0.0153498,0.999691
0,0,0.600445,0.126975,1,0,0.750556,0.0846502,1
0,0,0.600445,0.276975,1,0,0.750556,0.18465,1
0,0,0.600445,0.426975,1,0,0.750556,0.28465,1
0,0,0.600445,0.576975,1,0,0.750556,0.38465,1

0,0,-0.0015687,-0.0726232,0.298213,0.701787,0.00196088,0.0484154,0.333566
0,0,0,0,0,1,0,0,0
0,0,0.0984313,-0.822623,1,0,0.123039,0.548415,1
0,0,0.0984313,-0.672623,1,0,0.123039,0.448415,1
0,0,0.0984313,-0.522623,1,0,0.123039,0.348415,1
0,0,0.0984313,-0.372623,1,0,0.123039,0.248415,1
0,0,0.0984313,-0.222623,1,0,0.123039,0.148415,1
0,0,0.0984313,-0.0726232,1,0,0.123039,0.0484154,1
0,0,0.0984313,0.0773768,1,0,0.123039,0.0515846,1
0,0,0.0984313,0.227377,1,0,0.123039,0.151585,1
0,0,0.0984313,0.377377,1,0,0.123039,0.251585,1
0,0,0.0984313,0.527377,1,0,0.123039,0.351585,1
0,0,0.198431,-0.822623,1,0,0.248039,0.548415,1
0,0,0.198431,-0.672623,0.999113,0.000887203,0.248039,0.448415,0.999731
0,0,0.198431,-0.522623,1,0,0.248039,0.348415,1
0,0,0.198431,-0.372623,1,0,0.248039,0.248415,1
0,0,0.198431,-0.222623,1,0,0.248039,0.148415,1
0,0,0.198431,-0.0726232,1,0,0.248039,0.0484154,1
0,0,0.198431,0.0773768,1,0,0.248039,0.0515846,1
0,0,0.198431,0.227377,1,0,0.248039,0.151585,1
0,0,0.198431,0.377377,1,0,0.248039,0.251585,1
0,0,0.198431,0.527377,1,0,0.248039,0.351585,1
0,0,0.298431,-0.822623,1,0,0.373039,0.548415,1
0,0,0.298431,-0.672623,1,0,0.373039,0.448415,1
0,0,0.298431,-0.522623,1,0,0.373039,0.348415,1
0,0,0.298431,-0.372623,1,0,0.373039,0.248415,1
0,0,0.298431,-0.222623,1,0,0.373039,0.148415,1
0,0,0.298431,-0.0726232,1,0,0.373039,0.0484154,1
0,0,0.298431,0.0773768,1,0,0.373039,0.0515846,1
0,0,0.298431,0.227377,1,0,0.373039,0.151585,1
0,0,0.298431,0.377377,1,0,0.373039,0.251585,1
0,0,0.298431,0.527377,1,0,0.373039,0.351585,1
0,0,0.398431,-0.822623,0.999323,0.000677162,0.498039,0.548415,1.00003
0,0,0.398431,-0.672623,0.999194,0.000806249,0.498039,0.448415,0.999957
0,0,0.398431,-0.522623,0.999012,0.000987805,0.498039,0.348415,0.999848
0,0,0.398431,-0.372623,0.99875,0.0012498,0.498039,0.248415,0.999683
0,0,0.398431,-0.222623,0.998387,0.00161277,0.498039,0.148415,0.99943
0,0,0.398431,-0.0726232,0.99803,0.00197023,0.498039,0.0484154,0.999106
0,0,0.398431,0.0773768,0.998038,0.00196246,0.498039,0.0515846,0.999116
0,0,0.398431,0.227377,0.9984,0.00160007,0.498039,0.151585,0.999439
0,0,0.398431,0.377377,0.99876,0.00123995,0.498039,0.251585,0.99969
0,0,0.398431,0.527377,0.999019,0.000980987,0.498039,0.351585,0.999852
0,0,0.498431,-0.822623,0.999343,0.000656844,0.623039,0.548415,1.00011
0,0,0.498431,-0.672623,0.999227,0.00077258,0.623039,0.448415,1.00006
0,0,0.498431,-0.522623,0.999072,0.000927738,0.623039,0.348415,0.999974
0,0,0.498431,-0.372623,0.998866,0.00113431,0.623039,0.248415,0.999854
0,0,0.498431,-0.222623,0.998615,0.0013848,0.623039,0.148415,0.999684
0,0,0.498431,-0.0726232,0.998408,0.00159188,0.623039,0.0484154,0.999477
0,0,0.498431,0.0773768,0.998412,0.00158778,0.623039,0.0515846,0.999483
0,0,0.498431,0.227377,0.998623,0.00137673,0.623039,0.151585,0.99969
0,0,0.498431,0.377377,0.998873,0.00112693,0.623039,0.251585,0.999859
0,0,0.498431,0.527377,0.999078,0.000922082,0.623039,0.351585,0.999977

0,0,-0.00872538,-0.078576,1,0,0.0109067,0.052384,1
0,0,0,0,0,1,0,0,0
0,0,0.0912746,-0.828576,1,0,0.114093,0.552384,1
0,0,0.0912746,-0.678576,1,0,0.114093,0.452384,1
0,0,0.0912746,-0.528576,1,0,0.114093,0.352384,1
0,0,0.0912746,-0.378576,1,0,0.114093,0.252384,1
0,0,0.0912746,-0.228576,1,0,0.114093,0.152384,1
0,0,0.0912746,-0.078576,1,0,0.114093,0.052384,1
0,0,0.0912746,0.071424,1,0,0.114093,0.047616,1
0,0,0.0912746,0.221424,1,0,0.114093,0.147616,1
0,0,0.0912746,0.371424,1,0,0.114093,0.247616,1
0,0,0.0912746,0.521424,1,0,0.114093,0.347616,1
0,0,0.191275,-0.828576,1,0,0.239093,0.552384,1
0,0,0.191275,-0.678576,0.999132,0.000868346,0.239093,0.452384,0.999732
0,0,0.191275,-0.528576,0.9989,0.00110037,0.239093,0.352384,0.99955
0,0,0.191275,-0.378576,0.998509,0.00149085,0.239093,0.252384,0.999242
0,0,0.191275,-0.228576,0.997754,0.00224576,0.239093,0.152384,0.998633
0,0,0.191275,-0.078576,0.996246,0.00375361,0.239093,0.052384,0.99734
0,0,0.191275,0.071424,0.996165,0.00383454,0.239093,0.047616,0.997265
0,0,0.191275,0.221424,0.997702,0.00229788,0.239093,0.147616,0.998591
0,0,0.191275,0.371424,0.998484,0.00151603,0.239093,0.247616,0.999222
0,0,0.191275,0.521424,0.998886,0.00111445,0.239093,0.347616,0.999539
0,0,0.291275,-0.828576,0.999297,0.000703252,0.364093,0.552384,0.999941
0,0,0.291275,-0.678576,0.999154,0.000845962,0.364093,0.452384,0.999845
0,0,0.291275,-0.528576,0.998944,0.00105585,0.364093,0.352384,0.999701
0,0,0.291275,-0.378576,0.998615,0.00138538,0.364093,0.252384,0.999469
0,0,0.291275,-0.228576,0.998073,0.00192669,0.364093,0.152384,0.999068
0,0,0.291275,-0.078576,0.997347,0.00265293,0.364093,0.052384,0.998452
0,0,0.291275,0.071424,0.997319,0.00268105,0.364093,0.047616,0.998423
0,0,0.291275,0.221424,0.998041,0.0019593,0.364093,0.147616,0.999043
0,0,0.291275,0.371424,1,0,0.364093,0.247616,1
0,0,0.291275,0.521424,1,0,0.364093,0.347616,1
