dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1.875

joyvel,joyang,CandVel,CandAng,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost
0,0,0.00162162,0.0241103,1,0,0.976693,0.0233066,0.00202702,0.0160735,1.97707
0,0,0,0,0,1,0,1,0,0,0
0,0,0.00162162,-0.72589,1,0,0.298307,0.701693,0.00202702,0.483926,1.63787
0,0,0.00162162,-0.57589,1,0,0.443307,0.556693,0.00202702,0.383926,1.65704
0,0,0.00162162,-0.42589,1,0,0.588307,0.411693,0.00202702,0.283926,1.7052
0,0,0.00162162,-0.27589,1,0,0.733307,0.266693,0.00202702,0.183926,1.78236
0,0,0.00162162,-0.12589,1,0,0.878307,0.121693,0.00202702,0.0839265,1.88852
0,0,0.00162162,0.0241103,1,0,0.976693,0.0233066,0.00202702,0.0160735,1.97707
0,0,0.00162162,0.17411,1,0,0.831693,0.168307,0.00202702,0.116074,1.85123
0,0,0.00162162,0.32411,1,0,0.686693,0.313307,0.00202702,0.216074,1.75439
0,0,0.00162162,0.47411,1,0,0.541693,0.458307,0.00202702,0.316074,1.68655
0,0,0.00162162,0.62411,1,0,0.396693,0.603307,0.00202702,0.416074,1.64771
0,0,0.101622,-0.72589,1,0,0.298307,0.701693,0.127027,0.483926,1.63787
0,0,0.101622,-0.57589,1,0,0.443307,0.556693,0.127027,0.383926,1.65704
0,0,0.101622,-0.42589,1,0,0.588307,0.411693,0.127027,0.283926,1.7052
0,0,0.101622,-0.27589,1,0,0.733307,0.266693,0.127027,0.183926,1.78236
0,0,0.101622,-0.12589,1,0,0.878307,0.121693,0.127027,0.0839265,1.88852
0,0,0.101622,0.0241103,1,0,0.976693,0.0233066,0.127027,0.0160735,1.97707
0,0,0.101622,0.17411,1,0,0.831693,0.168307,0.127027,0.116074,1.85123
0,0,0.101622,0.32411,1,0,0.686693,0.313307,0.127027,0.216074,1.75439
0,0,0.101622,0.47411,1,0,0.541693,0.458307,0.127027,0.316074,1.68655
0,0,0.101622,0.62411,1,0,0.396693,0.603307,0.127027,0.416074,1.64771
0,0,0.201622,-0.72589,1,0,0.298307,0.701693,0.252027,0.483926,1.63787
0,0,0.201622,-0.57589,1,0,0.443307,0.556693,0.252027,0.383926,1.65704
0,0,0.201622,-0.42589,1,0,0.588307,0.411693,0.252027,0.283926,1.7052
0,0,0.201622,-0.27589,1,0,0.733307,0.266693,0.252027,0.183926,1.78236
0,0,0.201622,-0.12589,1,0,0.878307,0.121693,0.252027,0.0839265,1.88852
0,0,0.201622,0.0241103,1,0,0.976693,0.0233066,0.252027,0.0160735,1.97707
0,0,0.201622,0.17411,1,0,0.831693,0.168307,0.252027,0.116074,1.85123
0,0,0.201622,0.32411,1,0,0.686693,0.313307,0.252027,0.216074,1.75439
0,0,0.201622,0.47411,1,0,0.541693,0.458307,0.252027,0.316074,1.68655
0,0,0.201622,0.62411,1,0,0.396693,0.603307,0.252027,0.416074,1.64771
0,0,0.301622,-0.72589,1,0,0.298307,0.701693,0.377027,0.483926,1.63787
0,0,0.301622,-0.57589,1,0,0.443307,0.556693,0.377027,0.383926,1.65704
0,0,0.301622,-0.42589,1,0,0.588307,0.411693,0.377027,0.283926,1.7052
0,0,0.301622,-0.27589,1,0,0.733307,0.266693,0.377027,0.183926,1.78236
0,0,0.301622,-0.12589,1,0,0.878307,0.121693,0.377027,0.0839265,1.88852
0,0,0.301622,0.0241103,1,0,0.976693,0.0233066,0.377027,0.0160735,1.97707
0,0,0.301622,0.17411,1,0,0.831693,0.168307,0.377027,0.116074,1.85123
0,0,0.301622,0.32411,1,0,0.686693,0.313307,0.377027,0.216074,1.75439
0,0,0.301622,0.47411,1,0,0.541693,0.458307,0.377027,0.316074,1.68655
0,0,0.301622,0.62411,1,0,0.396693,0.603307,0.377027,0.416074,1.64771
0,0,0.401622,-0.72589,1,0,0.298307,0.701693,0.502027,0.483926,1.63787
0,0,0.401622,-0.57589,1,0,0.443307,0.556693,0.502027,0.383926,1.65704
0,0,0.401622,-0.42589,1,0,0.588307,0.411693,0.502027,0.283926,1.7052
0,0,0.401622,-0.27589,1,0,0.733307,0.266693,0.502027,0.183926,1.78236
0,0,0.401622,-0.12589,1,0,0.878307,0.121693,0.502027,0.0839265,1.88852
0,0,0.401622,0.0241103,1,0,0.976693,0.0233066,0.502027,0.0160735,1.97707
0,0,0.401622,0.17411,1,0,0.831693,0.168307,0.502027,0.116074,1.85123
0,0,0.401622,0.32411,1,0,0.686693,0.313307,0.502027,0.216074,1.75439
0,0,0.401622,0.47411,1,0,0.541693,0.458307,0.502027,0.316074,1.68655
0,0,0.401622,0.62411,1,0,0.396693,0.603307,0.502027,0.416074,1.64771
0,0,0.501622,-0.72589,1,0,0.298307,0.701693,0.627027,0.483926,1.63787
0,0,0.501622,-0.57589,1,0,0.443307,0.556693,0.627027,0.383926,1.65704
0,0,0.501622,-0.42589,1,0,0.588307,0.411693,0.627027,0.283926,1.7052
0,0,0.501622,-0.27589,1,0,0.733307,0.266693,0.627027,0.183926,1.78236
0,0,0.501622,-0.12589,1,0,0.878307,0.121693,0.627027,0.0839265,1.88852
0,0,0.501622,0.0241103,1,0,0.976693,0.0233066,0.627027,0.0160735,1.97707
0,0,0.501622,0.17411,1,0,0.831693,0.168307,0.627027,0.116074,1.85123
0,0,0.501622,0.32411,1,0,0.686693,0.313307,0.627027,0.216074,1.75439
0,0,0.501622,0.47411,1,0,0.541693,0.458307,0.627027,0.316074,1.68655
0,0,0.501622,0.62411,1,0,0.396693,0.603307,0.627027,0.416074,1.64771

0,0,0.00163882,0.024372,1,0,0.97644,0.0235596,0.00204852,0.016248,1.97682
0,0,0,0,0,1,0,1,0,0,0
0,0,0.00163882,-0.725628,1,0,0.29856,0.70144,0.00204852,0.483752,1.63788
0,0,0.00163882,-0.575628,1,0,0.44356,0.55644,0.00204852,0.383752,1.65709
0,0,0.00163882,-0.425628,1,0,0.58856,0.41144,0.00204852,0.283752,1.70531
0,0,0.00163882,-0.275628,1,0,0.73356,0.26644,0.00204852,0.183752,1.78252
0,0,0.00163882,-0.125628,1,0,0.87856,0.12144,0.00204852,0.083752,1.88873
0,0,0.00163882,0.024372,1,0,0.97644,0.0235596,0.00204852,0.016248,1.97682
0,0,0.00163882,0.174372,1,0,0.83144,0.16856,0.00204852,0.116248,1.85104
0,0,0.00163882,0.324372,1,0,0.68644,0.31356,0.00204852,0.216248,1.75425
0,0,0.00163882,0.474372,1,0,0.54144,0.45856,0.00204852,0.316248,1.68646
0,0,0.00163882,0.624372,1,0,0.39644,0.60356,0.00204852,0.416248,1.64767
