dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1

joyvel,joyang,CandVel,CandAng,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost
0,0,-0.000921404,1.10989e-05,0,1,0,1,0.00115176,7.39928e-06,0.00115915
0,0,0,0,0,1,0,1,0,0,0
0,0,0.0990786,-0.749989,0,1,0,1,0.123848,0.499993,0.623841
0,0,0.0990786,-0.599989,0,1,0,1,0.123848,0.399993,0.523841
0,0,0.0990786,-0.449989,0,1,0,1,0.123848,0.299993,0.423841
0,0,0.0990786,-0.299989,0,1,0,1,0.123848,0.199993,0.323841
0,0,0.0990786,-0.149989,0,1,0,1,0.123848,0.0999926,0.223841
0,0,0.0990786,1.10989e-05,0,1,0,1,0.123848,7.39928e-06,0.123856
0,0,0.0990786,0.150011,0,1,0,1,0.123848,0.100007,0.223856
0,0,0.0990786,0.300011,0,1,0,1,0.123848,0.200007,0.323856
0,0,0.0990786,0.450011,0,1,0,1,0.123848,0.300007,0.423856
0,0,0.0990786,0.600011,0,1,0,1,0.123848,0.400007,0.523856
0,0,0.199079,-0.749989,0,1,0,1,0.248848,0.499993,0.748841
0,0,0.199079,-0.599989,0,1,0,1,0.248848,0.399993,0.648841
0,0,0.199079,-0.449989,0,1,0,1,0.248848,0.299993,0.548841
0,0,0.199079,-0.299989,0,1,0,1,0.248848,0.199993,0.448841
0,0,0.199079,-0.149989,0,1,0,1,0.248848,0.0999926,0.348841
0,0,0.199079,1.10989e-05,0,1,0,1,0.248848,7.39928e-06,0.248856
0,0,0.199079,0.150011,0,1,0,1,0.248848,0.100007,0.348856
0,0,0.199079,0.300011,0,1,0,1,0.248848,0.200007,0.448856
0,0,0.199079,0.450011,0,1,0,1,0.248848,0.300007,0.548856
0,0,0.199079,0.600011,0,1,0,1,0.248848,0.400007,0.648856
0,0,0.299079,-0.749989,0,1,0,1,0.373848,0.499993,0.873841
0,0,0.299079,-0.599989,0,1,0,1,0.373848,0.399993,0.773841
0,0,0.299079,-0.449989,0,1,0,1,0.373848,0.299993,0.673841
0,0,0.299079,-0.299989,0,1,0,1,0.373848,0.199993,0.573841
0,0,0.299079,-0.149989,0,1,0,1,0.373848,0.0999926,0.473841
0,0,0.299079,1.10989e-05,0,1,0,1,0.373848,7.39928e-06,0.373856
0,0,0.299079,0.150011,0,1,0,1,0.373848,0.100007,0.473856
0,0,0.299079,0.300011,0,1,0,1,0.373848,0.200007,0.573856
0,0,0.299079,0.450011,0,1,0,1,0.373848,0.300007,0.673856
0,0,0.299079,0.600011,0,1,0,1,0.373848,0.400007,0.773856
0,0,0.399079,-0.749989,0,1,0,1,0.498848,0.499993,0.998841
0,0,0.399079,-0.599989,0,1,0,1,0.498848,0.399993,0.898841
0,0,0.399079,-0.449989,0,1,0,1,0.498848,0.299993,0.798841
0,0,0.399079,-0.299989,0,1,0,1,0.498848,0.199993,0.698841
0,0,0.399079,-0.149989,0,1,0,1,0.498848,0.0999926,0.598841
0,0,0.399079,1.10989e-05,0,1,0,1,0.498848,7.39928e-06,0.498856
0,0,0.399079,0.150011,0,1,0,1,0.498848,0.100007,0.598856
0,0,0.399079,0.300011,0,1,0,1,0.498848,0.200007,0.698856
0,0,0.399079,0.450011,0,1,0,1,0.498848,0.300007,0.798856
0,0,0.399079,0.600011,0,1,0,1,0.498848,0.400007,0.898856
0,0,0.499079,-0.749989,0,1,0,1,0.623848,0.499993,1.12384
0,0,0.499079,-0.599989,0,1,0,1,0.623848,0.399993,1.02384
0,0,0.499079,-0.449989,0,1,0,1,0.623848,0.299993,0.923841
0,0,0.499079,-0.299989,0,1,0,1,0.623848,0.199993,0.823841
0,0,0.499079,-0.149989,0,1,0,1,0.623848,0.0999926,0.723841
0,0,0.499079,1.10989e-05,0,1,0,1,0.623848,7.39928e-06,0.623856
0,0,0.499079,0.150011,0,1,0,1,0.623848,0.100007,0.723856
0,0,0.499079,0.300011,0,1,0,1,0.623848,0.200007,0.823856
0,0,0.499079,0.450011,0,1,0,1,0.623848,0.300007,0.923856
0,0,0.499079,0.600011,0,1,0,1,0.623848,0.400007,1.02386

0,0,-0.000921404,1.10989e-05,0,1,0,1,0.00115176,7.39928e-06,0.00115915
0,0,0,0,0,1,0,1,0,0,0
0,0,0.0990786,-0.749989,0,1,0,1,0.123848,0.499993,0.623841
0,0,0.0990786,-0.599989,0,1,0,1,0.123848,0.399993,0.523841
0,0,0.0990786,-0.449989,0,1,0,1,0.123848,0.299993,0.423841
0,0,0.0990786,-0.299989,0,1,0,1,0.123848,0.199993,0.323841
0,0,0.0990786,-0.149989,0,1,0,1,0.123848,0.0999926,0.223841
0,0,0.0990786,1.10989e-05,0,1,0,1,0.123848,7.39928e-06,0.123856
0,0,0.0990786,0.150011,0,1,0,1,0.123848,0.100007,0.223856
0,0,0.0990786,0.300011,0,1,0,1,0.123848,0.200007,0.323856
0,0,0.0990786,0.450011,0,1,0,1,0.123848,0.300007,0.423856
0,0,0.0990786,0.600011,0,1,0,1,0.123848,0.400007,0.523856
0,0,0.199079,-0.749989,0,1,0,1,0.248848,0.499993,0.748841
0,0,0.199079,-0.599989,0,1,0,1,0.248848,0.399993,0.648841
0,0,0.199079,-0.449989,0,1,0,1,0.248848,0.299993,0.548841
0,0,0.199079,-0.299989,0,1,0,1,0.248848,0.199993,0.448841
0,0,0.199079,-0.149989,0,1,0,1,0.248848,0.0999926,0.348841
0,0,0.199079,1.10989e-05,0,1,0,1,0.248848,7.39928e-06,0.248856
0,0,0.199079,0.150011,0,1,0,1,0.248848,0.100007,0.348856
0,0,0.199079,0.300011,0,1,0,1,0.248848,0.200007,0.448856
0,0,0.199079,0.450011,0,1,0,1,0.248848,0.300007,0.548856
0,0,0.199079,0.600011,0,1,0,1,0.248848,0.400007,0.648856
0,0,0.299079,-0.749989,0,1,0,1,0.373848,0.499993,0.873841
0,0,0.299079,-0.599989,0,1,0,1,0.373848,0.399993,0.773841
0,0,0.299079,-0.449989,0,1,0,1,0.373848,0.299993,0.673841
0,0,0.299079,-0.299989,0,1,0,1,0.373848,0.199993,0.573841
0,0,0.299079,-0.149989,0,1,0,1,0.373848,0.0999926,0.473841
0,0,0.299079,1.10989e-05,0,1,0,1,0.373848,7.39928e-06,0.373856
0,0,0.299079,0.150011,0,1,0,1,0.373848,0.100007,0.473856
0,0,0.299079,0.300011,0,1,0,1,0.373848,0.200007,0.573856
0,0,0.299079,0.450011,0,1,0,1,0.373848,0.300007,0.673856
0,0,0.299079,0.600011,0,1,0,1,0.373848,0.400007,0.773856
0,0,0.399079,-0.749989,0,1,0,1,0.498848,0.499993,0.998841
0,0,0.399079,-0.599989,0,1,0,1,0.498848,0.399993,0.898841
0,0,0.399079,-0.449989,0,1,0,1,0.498848,0.299993,0.798841
0,0,0.399079,-0.299989,0,1,0,1,0.498848,0.199993,0.698841
0,0,0.399079,-0.149989,0,1,0,1,0.498848,0.0999926,0.598841
0,0,0.399079,1.10989e-05,0,1,0,1,0.498848,7.39928e-06,0.498856
0,0,0.399079,0.150011,0,1,0,1,0.498848,0.100007,0.598856
0,0,0.399079,0.300011,0,1,0,1,0.498848,0.200007,0.698856
0,0,0.399079,0.450011,0,1,0,1,0.498848,0.300007,0.798856
0,0,0.399079,0.600011,0,1,0,1,0.498848,0.400007,0.898856
0,0,0.499079,-0.749989,0,1,0,1,0.623848,0.499993,1.12384
0,0,0.499079,-0.599989,0,1,0,1,0.623848,0.399993,1.02384
0,0,0.499079,-0.449989,0,1,0,1,0.623848,0.299993,0.923841
0,0,0.499079,-0.299989,0,1,0,1,0.623848,0.199993,0.823841
0,0,0.499079,-0.149989,0,1,0,1,0.623848,0.0999926,0.723841
0,0,0.499079,1.10989e-05,0,1,0,1,0.623848,7.39928e-06,0.623856
0,0,0.499079,0.150011,0,1,0,1,0.623848,0.100007,0.723856
0,0,0.499079,0.300011,0,1,0,1,0.623848,0.200007,0.823856
0,0,0.499079,0.450011,0,1,0,1,0.623848,0.300007,0.923856
0,0,0.499079,0.600011,0,1,0,1,0.623848,0.400007,1.02386

0,1.5,0.000473461,-2.30252e-06,0,1,0,1,0.000591827,1,1.00059
0,1.5,0,0,0,1,0,1,0,1,1
0,1.5,0.000473461,-0.750002,0,1,0,1,0.000591827,1.5,1.50059
0,1.5,0.000473461,-0.600002,0,1,0,1,0.000591827,1.4,1.40059
0,1.5,0.000473461,-0.450002,0,1,0,1,0.000591827,1.3,1.30059
0,1.5,0.000473461,-0.300002,0,1,0,1,0.000591827,1.2,1.20059
0,1.5,0.000473461,-0.150002,0,1,0,1,0.000591827,1.1,1.10059
0,1.5,0.000473461,-2.30252e-06,0,1,0,1,0.000591827,1,1.00059
